date,home,away,edge,odds,bet,profit,bankroll
2025-01-25,Man City,Chelsea,0.09870514093856197,2.05,7540.8059292326125,7917.846225694242,56460.102274522025
2025-02-01,Wolves,Aston Villa,0.09571706439455852,3.3,6430.103526609889,14789.238111202743,71249.34038572476
2025-02-12,Everton,Liverpool,0.10328159455770639,7.5,7968.886986771499,-7968.886986771499,63280.453398953265
2025-02-14,Brighton,Chelsea,0.07249187559247289,2.7,5301.360292521466,9012.312497286493,72292.76589623975
2025-02-15,Man City,Newcastle,0.11114596614351807,1.95,12597.950447584466,11968.052925205242,84260.81882144499
2025-02-15,Aston Villa,Ipswich,0.11573754729164898,1.4,16852.163764289,-16852.163764289,67408.655057156
2025-02-16,Tottenham,Man United,0.16886054912659054,2.45,13481.731011431199,19548.50996657524,86957.16502373123
2025-02-19,Aston Villa,Liverpool,0.10634486079335342,3.9,10930.825866330631,-10930.825866330631,76026.3391574006
2025-02-22,Aston Villa,Chelsea,0.09986694214061331,2.63,9653.560903327016,15735.304272423034,91761.64342982363
2025-02-25,Crystal Palace,Aston Villa,0.1504896519898743,2.45,18352.328685964727,26610.876594648857,118372.52002447248
2025-02-25,Brighton,Bournemouth,0.11858002761863123,2.0,20724.752338938215,20724.752338938215,139097.2723634107
2025-02-26,Nott'm Forest,Arsenal,0.08175098174333278,3.9,13138.97819987196,-13138.97819987196,125958.29416353875
2025-04-05,Everton,Arsenal,0.06468781111432809,5.25,8136.6839740943915,-8136.6839740943915,117821.61018944436
2025-04-05,Crystal Palace,Brighton,0.07835033292335669,2.35,11094.162492793892,14977.119365271756,132798.72955471612
2025-04-06,Tottenham,Southampton,0.20907732236497623,1.38,26559.745910943224,10092.703446158423,142891.43300087453
2025-04-07,Leicester,Newcastle,0.12131612653123902,6.5,18841.411118624306,-18841.411118624306,124050.02188225022
2025-04-12,Southampton,Aston Villa,0.1066767301185525,6.0,14700.20056538963,-14700.20056538963,109349.82131686059
2025-04-13,Newcastle,Man United,0.24582616434197246,1.65,21869.96426337212,14215.476771191876,123565.29808805246
2025-04-19,Brentford,Brighton,0.1694675179813852,2.4,24713.059617610492,34598.28346465468,158163.58155270712
2025-04-19,Crystal Palace,Bournemouth,0.05614435081263519,2.45,8234.444115014057,-8234.444115014057,149929.13743769308
2025-04-19,Aston Villa,Newcastle,0.05199706927698061,2.3,5627.115263854261,7315.249843010538,157244.3872807036
2025-04-20,Fulham,Chelsea,0.13003630270816308,2.7,26734.55160466732,-26734.55160466732,130509.8356760363
2025-04-23,Arsenal,Crystal Palace,0.06580314372194684,1.4,12128.977475826297,-12128.977475826297,118380.85820021
2025-04-26,Wolves,Leicester,0.25481760371053774,1.5,23676.171640042,11838.085820021,130218.944020231
2025-04-26,Chelsea,Everton,0.10018871063483437,1.55,22981.1939367064,12639.65666518852,142858.60068541951
2025-05-02,Man City,Wolves,0.19803343453828093,1.4,28571.720137083903,11428.68805483356,154287.28874025308
2025-05-03,Arsenal,Bournemouth,0.08967564751539275,2.05,19723.97601123055,-19723.97601123055,134563.31272902252
2025-05-10,Southampton,Man City,0.118377041376593,11.0,16789.547883065425,-16789.547883065425,117773.7648459571
2025-05-16,Chelsea,Man United,0.08227547955788739,1.44,17891.81357429662,7872.397972690511,125646.16281864762
2025-05-19,Brighton,Liverpool,0.13571001161603452,2.6,23302.35159697693,37283.762555163084,162929.9253738107
2025-05-25,Man United,Aston Villa,0.058610234082096396,4.33,9766.395059552347,32522.095548309317,195452.02092212002
2025-05-25,Nott'm Forest,Chelsea,0.10088597400093041,3.0,24522.75760722988,-24522.75760722988,170929.26331489015
2025-08-23,Bournemouth,Wolves,0.09598704361102384,1.8,25430.372448282396,20344.297958625917,191273.56127351607
2025-08-23,Burnley,Sunderland,0.09226423763976394,2.2,24365.967788987455,29239.16134678495,220512.722620301
2025-08-30,Tottenham,Bournemouth,0.1280709916109345,1.73,44102.544524060206,-44102.544524060206,176410.1780962408
2025-08-31,Brighton,Man City,0.09033728101650923,3.8,18863.962475796547,52819.09493223033,229229.27302847113
